"Fact","Fact Note","Georgia","Value Note for Georgia","Texas","Value Note for Texas","Connecticut","Value Note for Connecticut","Louisiana","Value Note for Louisiana","Florida","Value Note for Florida","Illinois","Value Note for Illinois"
"Population estimates, July 1, 2019,  (V2019)","","10,617,423","","28,995,881","","3,565,287","","4,648,794","","21,477,737","","12,671,821",""
"Population estimates, July 1, 2018,  (V2018)","","10,519,475","","28,701,845","","3,572,665","","4,659,978","","21,299,325","","12,741,080",""
"Population estimates base, April 1, 2010,  (V2019)","","9,688,729","","25,146,091","","3,574,147","","4,533,487","","18,804,564","","12,831,572",""
"Population estimates base, April 1, 2010,  (V2018)","","9,688,709","","25,146,114","","3,574,147","","4,533,485","","18,804,580","","12,831,572",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","9.6%","","15.3%","","-0.2%","","2.5%","","14.2%","","-1.2%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","8.6%","","14.1%","","Z","","2.8%","","13.3%","","-0.7%",""
"Population, Census, April 1, 2010","","9,687,653","","25,145,561","","3,574,097","","4,533,372","","18,801,310","","12,830,632",""
"Persons under 5 years, percent","","6.2%","","7.1%","","5.1%","","6.6%","","5.4%","","6.0%",""
"Persons under 18 years, percent","","23.8%","","25.8%","","20.6%","","23.5%","","19.9%","","22.4%",""
"Persons 65 years and over, percent","","13.9%","","12.6%","","17.2%","","15.4%","","20.5%","","15.6%",""
"Female persons, percent","","51.4%","","50.3%","","51.2%","","51.2%","","51.1%","","50.9%",""
"White alone, percent","","60.5%","","78.8%","","80.0%","","62.9%","","77.3%","","76.9%",""
"Black or African American alone, percent","(a)","32.4%","","12.8%","","12.0%","","32.7%","","16.9%","","14.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%","","1.0%","","0.6%","","0.8%","","0.5%","","0.6%",""
"Asian alone, percent","(a)","4.3%","","5.2%","","4.9%","","1.8%","","3.0%","","5.9%",""
