"Fact","Fact Note","Virginia","Value Note for Virginia","Colorado","Value Note for Colorado","Indiana","Value Note for Indiana","Washington","Value Note for Washington","Ohio","Value Note for Ohio","Maryland","Value Note for Maryland"
"Population estimates, July 1, 2019,  (V2019)","","8,535,519","","5,758,736","","6,732,219","","7,614,893","","11,689,100","","6,045,680",""
"Population estimates, July 1, 2018,  (V2018)","","8,517,685","","5,695,564","","6,691,878","","7,535,591","","11,689,442","","6,042,718",""
"Population estimates base, April 1, 2010,  (V2019)","","8,001,049","","5,029,319","","6,484,051","","6,724,540","","11,536,751","","5,773,794",""
"Population estimates base, April 1, 2010,  (V2018)","","8,001,055","","5,029,316","","6,484,061","","6,724,540","","11,536,757","","5,773,798",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","6.7%","","14.5%","","3.8%","","13.2%","","1.3%","","4.7%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","6.5%","","13.2%","","3.2%","","12.1%","","1.3%","","4.7%",""
"Population, Census, April 1, 2010","","8,001,024","","5,029,196","","6,483,802","","6,724,540","","11,536,504","","5,773,552",""
"Persons under 5 years, percent","","6.0%","","5.9%","","6.3%","","6.1%","","5.9%","","6.0%",""
"Persons under 18 years, percent","","22.0%","","22.2%","","23.4%","","22.1%","","22.2%","","22.2%",""
"Persons 65 years and over, percent","","15.4%","","14.2%","","15.8%","","15.4%","","17.1%","","15.4%",""
"Female persons, percent","","50.8%","","49.6%","","50.7%","","50.0%","","51.0%","","51.5%",""
"White alone, percent","","69.5%","","87.1%","","85.1%","","78.9%","","81.9%","","58.8%",""
"Black or African American alone, percent","(a)","19.9%","","4.6%","","9.8%","","4.3%","","13.0%","","30.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%","","1.6%","","0.4%","","1.9%","","0.3%","","0.6%",""
"Asian alone, percent","(a)","6.9%","","3.5%","","2.5%","","9.3%","","2.5%","","6.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.2%","","0.1%","","0.8%","","0.1%","","0.1%",""
