"Fact","Fact Note","Iowa","Value Note for Iowa","Utah","Value Note for Utah","Nevada","Value Note for Nevada","South Carolina","Value Note for South Carolina","Wisconsin","Value Note for Wisconsin","Mississippi","Value Note for Mississippi"
"Population estimates, July 1, 2019,  (V2019)","","3,155,070","","3,205,958","","3,080,156","","5,148,714","","5,822,434","","2,976,149",""
"Population estimates, July 1, 2018,  (V2018)","","3,156,145","","3,161,105","","3,034,392","","5,084,127","","5,813,568","","2,986,530",""
"Population estimates base, April 1, 2010,  (V2019)","","3,046,871","","2,763,891","","2,700,677","","4,625,366","","5,687,285","","2,968,130",""
"Population estimates base, April 1, 2010,  (V2018)","","3,046,872","","2,763,891","","2,700,679","","4,625,381","","5,687,282","","2,968,118",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","3.6%","","16.0%","","14.1%","","11.3%","","2.4%","","0.3%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","3.6%","","14.4%","","12.4%","","9.9%","","2.2%","","0.6%",""
"Population, Census, April 1, 2010","","3,046,355","","2,763,885","","2,700,551","","4,625,364","","5,686,986","","2,967,297",""
"Persons under 5 years, percent","","6.3%","","8.0%","","6.1%","","5.8%","","5.8%","","6.2%",""
"Persons under 18 years, percent","","23.2%","","29.5%","","22.7%","","21.8%","","22.0%","","23.6%",""
"Persons 65 years and over, percent","","17.1%","","11.1%","","15.7%","","17.7%","","17.0%","","15.9%",""
"Female persons, percent","","50.2%","","49.6%","","49.9%","","51.5%","","50.2%","","51.5%",""
"White alone, percent","","90.7%","","90.7%","","74.3%","","68.5%","","87.1%","","59.1%",""
"Black or African American alone, percent","(a)","4.0%","","1.4%","","10.1%","","27.1%","","6.7%","","37.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%","","1.5%","","1.7%","","0.5%","","1.2%","","0.6%",""
"Asian alone, percent","(a)","2.7%","","2.7%","","8.7%","","1.8%","","3.0%","","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","1.1%","","0.8%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","1.9%","","2.6%","","4.5%","","1.9%","","2.0%","","1.3%",""
"Hispanic or Latino, percent","(b)","6.2%","","14.2%","","29.0%","","5.8%","","6.9%","","3.4%",""
"White alone, not Hispanic or Latino, percent","","85.3%","","78.0%","","48.7%","","63.7%","","81.1%","","56.5%",""
"Veterans, 2014-2018","","188,867","","123,339","","208,731","","366,862","","342,796","","168,996",""
"Foreign born persons, percent, 2014-2018","","5.2%","","8.4%","","19.4%","","4.9%","","5.0%","","2.3%",""
"Housing units,  July 1, 2018,  (V2018)","","1,409,650","","1,108,763","","1,268,633","","2,318,271","","2,710,723","","1,332,577",""
"Owner-occupied housing unit rate, 2014-2018","","71.1%","","69.9%","","55.8%","","68.9%","","66.9%","","68.2%",""
"Median value of owner-occupied housing units, 2014-2018","","$142,300","","$256,700","","$242,400","","$154,800","","$173,600","","$114,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,234","","$1,497","","$1,469","","$1,227","","$1,418","","$1,134",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$472","","$418","","$419","","$371","","$550","","$357",""
"Median gross rent, 2014-2018","","$766","","$988","","$1,060","","$868","","$837","","$762",""
"Building permits, 2018","","11,518","","25,574","","17,645","","35,487","","19,113","","6,883",""
"Households, 2014-2018","","1,256,855","","957,619","","1,075,930","","1,894,711","","2,343,129","","1,105,576",""
"Persons per household, 2014-2018","","2.41","","3.13","","2.68","","2.54","","2.40","","2.62",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","84.8%","","82.9%","","81.6%","","85.3%","","85.8%","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","8.0%","","15.2%","","30.4%","","7.0%","","8.7%","","3.9%",""
"Households with a computer, percent, 2014-2018","","87.6%","","94.4%","","91.2%","","86.2%","","88.0%","","81.5%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","78.8%","","85.7%","","81.3%","","75.3%","","80.4%","","68.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","92.0%","","92.0%","","86.3%","","87.1%","","91.9%","","83.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","28.2%","","33.3%","","24.2%","","27.4%","","29.5%","","21.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.8%","","6.8%","","8.9%","","10.4%","","8.2%","","11.8%",""
"Persons  without health insurance, under age 65 years, percent","","5.6%","","10.5%","","13.0%","","12.7%","","6.5%","","14.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","67.4%","","67.9%","","63.4%","","59.7%","","66.6%","","57.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","63.1%","","60.0%","","58.7%","","56.0%","","63.0%","","53.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","5,468,687","","4,789,281","","27,481,505","","9,763,818","","10,303,256","","6,999,175",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","18,583,828","","14,521,857","","13,928,514","","22,941,292","","40,680,625","","16,630,587",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","116,668,830","","50,046,429","","14,719,141","","99,160,840","","177,728,926","","66,441,608",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","62,318,301","","30,927,885","","19,841,701","","45,520,900","","77,066,883","","28,302,952",""
"Total retail sales, 2012 ($1,000)","(c)","44,905,624","","38,024,486","","38,234,170","","58,093,824","","78,201,822","","37,053,190",""
"Total retail sales per capita, 2012","(c)","$14,607","","$13,317","","$13,858","","$12,298","","$13,656","","$12,413",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","19.1","","21.7","","24.3","","24.6","","22.0","","24.6",""
"Median household income (in 2018 dollars), 2014-2018","","$58,580","","$68,374","","$57,598","","$51,015","","$59,209","","$43,567",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$31,085","","$28,239","","$29,961","","$27,986","","$32,018","","$23,434",""
"Persons in poverty, percent","","11.2%","","9.0%","","12.9%","","15.3%","","11.0%","","19.7%",""
"Total employer establishments, 2017","","82,685","1","80,140","1","66,430","1","109,238","1","142,136","1","59,294","1"
"Total employment, 2017","","1,353,681","1","1,282,455","1","1,191,625","1","1,866,451","1","2,561,381","1","939,485","1"
"Total annual payroll, 2017 ($1,000)","","58,926,050","1","58,191,764","1","50,960,493","1","76,707,295","1","121,061,234","1","35,366,718","1"
"Total employment, percent change, 2016-2017","","-0.1%","1","3.5%","1","2.3%","1","8.7%","1","1.5%","1","Z","1"
