"Fact","Fact Note","Kansas","Value Note for Kansas","Minnesota","Value Note for Minnesota","Delaware","Value Note for Delaware","Oklahoma","Value Note for Oklahoma","District of Columbia","Value Note for District of Columbia","Kentucky","Value Note for Kentucky"
"Population estimates, July 1, 2019,  (V2019)","","2,913,314","","5,639,632","","973,764","","3,956,971","","705,749","","4,467,673",""
"Population estimates, July 1, 2018,  (V2018)","","2,911,505","","5,611,179","","967,171","","3,943,079","","702,455","","4,468,402",""
"Population estimates base, April 1, 2010,  (V2019)","","2,853,123","","5,303,927","","897,937","","3,751,582","","601,767","","4,339,333",""
"Population estimates base, April 1, 2010,  (V2018)","","2,853,126","","5,303,925","","897,934","","3,751,583","","601,766","","4,339,333",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.1%","","6.3%","","8.4%","","5.5%","","17.3%","","3.0%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","2.0%","","5.8%","","7.7%","","5.1%","","16.7%","","3.0%",""
"Population, Census, April 1, 2010","","2,853,118","","5,303,925","","897,934","","3,751,351","","601,723","","4,339,367",""
"Persons under 5 years, percent","","6.5%","","6.3%","","5.7%","","6.6%","","6.5%","","6.2%",""
"Persons under 18 years, percent","","24.2%","","23.2%","","21.1%","","24.3%","","18.1%","","22.6%",""
"Persons 65 years and over, percent","","15.9%","","15.9%","","18.7%","","15.7%","","12.1%","","16.4%",""
"Female persons, percent","","50.2%","","50.2%","","51.6%","","50.5%","","52.6%","","50.7%",""
"White alone, percent","","86.4%","","84.1%","","69.5%","","74.2%","","45.6%","","87.6%",""
"Black or African American alone, percent","(a)","6.1%","","6.8%","","23.0%","","7.8%","","46.4%","","8.4%",""
"American Indian and Alaska Native alone, percent","(a)","1.2%","","1.4%","","0.7%","","9.3%","","0.6%","","0.3%",""
"Asian alone, percent","(a)","3.1%","","5.1%","","4.1%","","2.3%","","4.4%","","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.1%","","0.2%","","0.1%","","0.1%",""
"Two or More Races, percent","","3.0%","","2.5%","","2.7%","","6.2%","","2.8%","","2.0%",""
"Hispanic or Latino, percent","(b)","12.1%","","5.5%","","9.5%","","10.9%","","11.3%","","3.8%",""
"White alone, not Hispanic or Latino, percent","","75.7%","","79.5%","","61.9%","","65.3%","","37.1%","","84.3%",""
"Veterans, 2014-2018","","181,453","","310,097","","66,590","","273,677","","26,936","","273,675",""
"Foreign born persons, percent, 2014-2018","","7.1%","","8.4%","","9.2%","","6.0%","","14.0%","","3.8%",""
"Housing units,  July 1, 2018,  (V2018)","","1,280,774","","2,456,064","","438,693","","1,743,069","","319,531","","1,995,182",""
"Owner-occupied housing unit rate, 2014-2018","","66.3%","","71.6%","","71.1%","","65.6%","","41.8%","","67.0%",""
"Median value of owner-occupied housing units, 2014-2018","","$145,400","","$211,800","","$244,700","","$130,900","","$568,400","","$135,300",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,349","","$1,547","","$1,563","","$1,214","","$2,456","","$1,158",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$495","","$520","","$465","","$395","","$672","","$370",""
"Median gross rent, 2014-2018","","$831","","$944","","$1,110","","$793","","$1,487","","$741",""
"Building permits, 2018","","9,478","","25,673","","6,003","","10,502","","4,615","","13,826",""
"Households, 2014-2018","","1,124,549","","2,167,801","","357,765","","1,474,620","","281,322","","1,728,681",""
"Persons per household, 2014-2018","","2.52","","2.49","","2.58","","2.58","","2.29","","2.49",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","83.6%","","85.7%","","87.3%","","82.9%","","80.4%","","84.5%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","11.7%","","11.7%","","13.0%","","10.3%","","17.4%","","5.5%",""
"Households with a computer, percent, 2014-2018","","88.4%","","90.3%","","89.9%","","86.7%","","89.8%","","84.3%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","79.6%","","82.9%","","82.4%","","75.8%","","80.0%","","75.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","90.7%","","93.0%","","89.8%","","87.8%","","90.6%","","85.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","32.9%","","35.4%","","31.4%","","25.2%","","57.6%","","23.6%",""
