"Fact","Fact Note","Nebraska","Value Note for Nebraska","South Dakota","Value Note for South Dakota","Idaho","Value Note for Idaho","Arkansas","Value Note for Arkansas","Oregon","Value Note for Oregon","New Mexico","Value Note for New Mexico"
"Population estimates, July 1, 2019,  (V2019)","","1,934,408","","884,659","","1,787,065","","3,017,804","","4,217,737","","2,096,829",""
"Population estimates, July 1, 2018,  (V2018)","","1,929,268","","882,235","","1,754,208","","3,013,825","","4,190,713","","2,095,428",""
"Population estimates base, April 1, 2010,  (V2019)","","1,826,305","","814,198","","1,567,657","","2,916,031","","3,831,079","","2,059,199",""
"Population estimates base, April 1, 2010,  (V2018)","","1,826,305","","814,198","","1,567,657","","2,916,028","","3,831,075","","2,059,180",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","5.9%","","8.7%","","14.0%","","3.5%","","10.1%","","1.8%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","5.6%","","8.4%","","11.9%","","3.4%","","9.4%","","1.8%",""
"Population, Census, April 1, 2010","","1,826,341","","814,180","","1,567,582","","2,915,918","","3,831,074","","2,059,179",""
"Persons under 5 years, percent","","6.9%","","7.0%","","6.6%","","6.3%","","5.6%","","5.9%",""
"Persons under 18 years, percent","","24.7%","","24.7%","","25.5%","","23.3%","","20.8%","","23.0%",""
"Persons 65 years and over, percent","","15.7%","","16.6%","","15.9%","","17.0%","","17.6%","","17.5%",""
"Female persons, percent","","50.1%","","49.5%","","49.9%","","50.9%","","50.4%","","50.5%",""
"White alone, percent","","88.3%","","84.4%","","93.0%","","79.1%","","86.8%","","82.0%",""
"Black or African American alone, percent","(a)","5.1%","","2.4%","","0.9%","","15.7%","","2.2%","","2.6%",""
"American Indian and Alaska Native alone, percent","(a)","1.5%","","9.0%","","1.7%","","1.0%","","1.8%","","10.9%",""
"Asian alone, percent","(a)","2.7%","","1.7%","","1.6%","","1.7%","","4.8%","","1.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.2%","","0.4%","","0.5%","","0.2%",""
"Two or More Races, percent","","2.3%","","2.4%","","2.5%","","2.2%","","3.9%","","2.6%",""
"Hispanic or Latino, percent","(b)","11.2%","","4.1%","","12.7%","","7.7%","","13.3%","","49.1%",""
"White alone, not Hispanic or Latino, percent","","78.6%","","81.4%","","81.7%","","72.2%","","75.3%","","37.1%",""
"Veterans, 2014-2018","","120,290","","59,243","","115,045","","202,572","","288,540","","148,264",""
"Foreign born persons, percent, 2014-2018","","7.0%","","3.5%","","6.0%","","4.8%","","9.9%","","9.6%",""
"Housing units,  July 1, 2018,  (V2018)","","845,042","","397,526","","735,672","","1,380,504","","1,788,681","","943,208",""
"Owner-occupied housing unit rate, 2014-2018","","66.1%","","68.1%","","69.3%","","65.7%","","61.9%","","67.6%",""
"Median value of owner-occupied housing units, 2014-2018","","$147,800","","$159,100","","$192,300","","$123,300","","$287,300","","$166,800",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,352","","$1,298","","$1,228","","$1,071","","$1,647","","$1,262",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$510","","$471","","$368","","$347","","$519","","$350",""
"Median gross rent, 2014-2018","","$805","","$722","","$825","","$729","","$1,050","","$828",""
"Building permits, 2018","","7,866","","4,963","","15,824","","10,179","","20,132","1","4,813","1"
"Households, 2014-2018","","754,063","","341,565","","618,331","","1,152,175","","1,591,835","","775,651",""
"Persons per household, 2014-2018","","2.46","","2.43","","2.68","","2.52","","2.51","","2.64",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","83.8%","","84.0%","","82.6%","","84.4%","","82.3%","","86.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","11.2%","","6.5%","","10.8%","","7.4%","","15.4%","","34.8%",""
"Households with a computer, percent, 2014-2018","","88.5%","","86.8%","","90.2%","","84.1%","","91.8%","","83.8%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","81.0%","","78.0%","","79.7%","","69.8%","","83.9%","","72.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","91.1%","","91.7%","","90.6%","","86.2%","","90.4%","","85.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","31.3%","","28.5%","","26.9%","","22.6%","","32.9%","","27.1%",""
"With a disability, under age 65 years, percent, 2014-2018","","7.7%","","8.1%","","9.3%","","12.5%","","10.1%","","10.3%",""
"Persons  without health insurance, under age 65 years, percent","","9.7%","","11.6%","","13.2%","","9.8%","","8.4%","","11.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","69.5%","","68.1%","","62.1%","","57.9%","","62.1%","","57.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","64.9%","","64.2%","","56.5%","","53.3%","","57.7%","","53.8%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","3,094,498","","1,873,699","","2,680,225","","4,307,264","","8,466,788","","4,349,672",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","12,869,418","","6,211,731","","7,895,614","","15,792,628","","24,956,816","","11,236,630",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","57,499,177","","16,882,647","","20,201,432","","62,712,925","","51,349,948","","29,102,352",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","42,618,995","","20,411,059","","17,906,012","","31,256,110","","48,325,261","","10,720,363",""
"Total retail sales, 2012 ($1,000)","(c)","30,470,717","","13,791,827","","20,444,278","","36,815,256","","49,481,054","","25,179,274",""
"Total retail sales per capita, 2012","(c)","$16,422","","$16,550","","$12,812","","$12,483","","$12,690","","$12,073",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","18.6","","17.0","","20.7","","21.7","","23.7","","22.1",""
"Median household income (in 2018 dollars), 2014-2018","","$59,116","","$56,499","","$53,089","","$45,726","","$59,393","","$48,059",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$31,101","","$29,801","","$26,772","","$25,635","","$32,045","","$26,085",""
"Persons in poverty, percent","","11.0%","","13.1%","","11.8%","","17.2%","","12.6%","","19.5%",""
"Total employer establishments, 2017","","54,954","1","27,099","1","47,574","1","66,786","1","117,357","1","44,039","1"
"Total employment, 2017","","833,472","1","359,643","1","578,134","1","1,030,593","1","1,596,637","1","626,466","1"
"Total annual payroll, 2017 ($1,000)","","36,415,429","1","14,719,422","1","23,564,597","1","42,305,514","1","79,111,280","1","25,723,101","1"
"Total employment, percent change, 2016-2017","","-5.8%","1","0.5%","1","2.8%","1","0.7%","1","2.9%","1","-0.4%","1"
"Total nonemployer establishments, 2017","","137,380","","66,713","","130,699","","205,915","","295,127","","124,091",""
"All firms, 2012","","164,089","","81,314","","146,642","","231,959","","339,305","","151,363",""
"Men-owned firms, 2012","","83,696","","42,418","","70,438","","123,158","","165,691","","71,132",""
"Women-owned firms, 2012","","51,936","","23,722","","45,121","","75,962","","123,015","","59,044",""
