"Fact","Fact Note","Alaska","Value Note for Alaska","Wyoming","Value Note for Wyoming","Montana","Value Note for Montana"
"Population estimates, July 1, 2019,  (V2019)","","731,545","","578,759","","1,068,778",""
"Population estimates, July 1, 2018,  (V2018)","","737,438","","577,737","","1,062,305",""
"Population estimates base, April 1, 2010,  (V2019)","","710,249","","563,775","","989,407",""
"Population estimates base, April 1, 2010,  (V2018)","","710,249","","563,773","","989,409",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","3.0%","","2.7%","","8.0%",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)","","3.8%","","2.5%","","7.4%",""
"Population, Census, April 1, 2010","","710,231","","563,626","","989,415",""
"Persons under 5 years, percent","","7.2%","","6.2%","","5.9%",""
"Persons under 18 years, percent","","24.9%","","23.3%","","21.6%",""
"Persons 65 years and over, percent","","11.8%","","16.5%","","18.7%",""
"Female persons, percent","","47.9%","","49.0%","","49.7%",""
"White alone, percent","","65.3%","","92.6%","","89.0%",""
"Black or African American alone, percent","(a)","3.8%","","1.3%","","0.6%",""
"American Indian and Alaska Native alone, percent","(a)","15.4%","","2.7%","","6.6%",""
"Asian alone, percent","(a)","6.6%","","1.1%","","0.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","1.4%","","0.1%","","0.1%",""
"Two or More Races, percent","","7.4%","","2.2%","","2.8%",""
"Hispanic or Latino, percent","(b)","7.2%","","10.1%","","4.0%",""
"White alone, not Hispanic or Latino, percent","","60.3%","","83.8%","","85.9%",""
"Veterans, 2014-2018","","67,452","","45,389","","85,480",""
"Foreign born persons, percent, 2014-2018","","7.8%","","3.5%","","2.2%",""
"Housing units,  July 1, 2018,  (V2018)","","318,336","","278,595","","515,175",""
"Owner-occupied housing unit rate, 2014-2018","","64.0%","","69.4%","","67.7%",""
"Median value of owner-occupied housing units, 2014-2018","","$265,200","","$213,300","","$219,600",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,907","","$1,428","","$1,386",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$573","","$415","","$421",""
